DATA;VOO;ORIGEM;DESTINO;PARTIDA;CHEGADA
01/05/2026;DO;;;;
02/05/2026;DO;;;;
03/05/2026;DO;;;;
04/05/2026;DO;;;;
05/05/2026;ASB;;;13:00;19:00
06/05/2026;DO;;;;
07/05/2026;DO;;;;
08/05/2026;HSB;;;10:00;21:00
09/05/2026;DO;;;;
10/05/2026;DO;;;;
11/05/2026;LA4704;CGH;BPS;15:33;17:27
11/05/2026;LA4645;BPS;CGH;18:05;20:08
11/05/2026;LA3648;CGH;VIX;21:31;22:54
12/05/2026;LA3333;VIX;GRU;14:55;16:33
12/05/2026;LA3408;GRU;NVT;17:57;19:08
12/05/2026;LA3411;NVT;GRU;19:51;21:04
12/05/2026;LA4544;GRU;CNF;22:53;00:02
13/05/2026;LA3933;CNF;CGH;16:14;17:29
13/05/2026;LA3964;CGH;SJP;18:58;20:01
13/05/2026;LA3965;SJP;CGH;20:34;21:34
14/05/2026;DO;;;;
15/05/2026;DO;;;;
16/05/2026;DO;;;;
17/05/2026;DO;;;;
18/05/2026;DO;;;;
19/05/2026;DO;;;;
20/05/2026;DO;;;;
21/05/2026;DO;;;;
22/05/2026;DO;;;;
23/05/2026;DO;;;;
24/05/2026;LA4544;GRU;CNF;22:40;23:50
25/05/2026;DO;;;;
26/05/2026;TREI;;;;
27/05/2026;DO;;;;
28/05/2026;LA3470;GRU;JJD;12:10;15:35
28/05/2026;LA3471;JJD;GRU;16:15;19:45
29/05/2026;LA3926;CGH;SDU;18:35;19:35
29/05/2026;LA4714;SDU;GRU;20:15;21:25
29/05/2026;LA4674;GRU;SSA;23:30;01:50
30/05/2026;LA4541;SSA;CGH;17:40;20:15
30/05/2026;LA3220;CGH;IGU;21:55;23:40
31/05/2026;LA3482;IGU;CWB;13:35;14:45
31/05/2026;LA3481;CWB;IGU;15:25;16:40
31/05/2026;LA3109;IGU;CGH;17:45;19:20
31/05/2026;LA3940;CGH;SDU;20:45;21:45
01/06/2026;LA3925;SDU;CGH;11:45;12:55
01/06/2026;LA3702;CGH;FLN;16:20;17:30
01/06/2026;LA3703;FLN;CGH;16:20;17:30
01/06/2026;LA3926;CGH;SDU;18:35;19:35
01/06/2026;LA4714;SDU;GRU;20:15;21:25
